model,dependent,term,estimate,std_error_nw,t_value,p_value,nobs,r2_adj,rmse
ARDL_no_petrolero,dlog_imaec_no_petrolero,(Intercept),1.117590906222447,0.8916036832549232,1.2534615179499102,0.21731500972932088,NA,NA,NA
ARDL_no_petrolero,dlog_imaec_no_petrolero,dlog_no_petrolero_l1,-0.4975288147940661,0.08385801512678026,-5.9329905917982915,5.871579492538295e-7,NA,NA,NA
ARDL_no_petrolero,dlog_imaec_no_petrolero,homicidios_100k_anualizado,0.03473729855654897,0.030170946821539455,1.1513493017643561,0.2564243512574448,NA,NA,NA
ARDL_no_petrolero,dlog_imaec_no_petrolero,homicidios_100k_anualizado_l1,-0.062125133659629794,0.015316211838672825,-4.0561683472388586,2.2443656401243325e-4,NA,NA,NA
ARDL_no_petrolero,dlog_imaec_no_petrolero,curfew_intensity,-9.56307494396858,5.724796868480922,-1.6704653743471856,0.10263529202643144,NA,NA,NA
ARDL_no_petrolero,dlog_imaec_no_petrolero,dlog_imaec_petrolero,-0.0010621471045414621,0.005673081106109098,-0.18722579224148256,0.8524300624609558,NA,NA,NA
ARDL_no_petrolero,dlog_imaec_no_petrolero,trend,0.01447615879863594,0.017590342699949163,0.8229605895442718,0.4154098540078137,NA,NA,NA
ARDL_no_petrolero,dlog_imaec_no_petrolero,season_sin,0.2870371521282915,0.3357677355338079,0.8548681774678443,0.39771555330835895,NA,NA,NA
ARDL_no_petrolero,dlog_imaec_no_petrolero,season_cos,0.6775041550475907,0.3025781283659653,2.2391048510557114,0.03077783451865568,NA,NA,NA
ARDL_actividad_vulnerable,dlog_imaec_vulnerable,(Intercept),1.651083991015206,1.5638434610823608,1.055785973535014,0.29740130324396125,NA,NA,NA
ARDL_actividad_vulnerable,dlog_imaec_vulnerable,dlog_vulnerable_l1,-0.5134998602990561,0.10210280697369156,-5.0292433236567895,1.0785978183504278e-5,NA,NA,NA
ARDL_actividad_vulnerable,dlog_imaec_vulnerable,homicidios_100k_anualizado,0.045501894812926345,0.04476638106555784,1.0164300470545382,0.31553348403296877,NA,NA,NA
ARDL_actividad_vulnerable,dlog_imaec_vulnerable,homicidios_100k_anualizado_l1,-0.09617067852119071,0.02189554977511343,-4.392247717410535,8.015725243395498e-5,NA,NA,NA
ARDL_actividad_vulnerable,dlog_imaec_vulnerable,curfew_intensity,-7.2724339153278095,9.803951652127965,-0.7417859831804979,0.4625504687957699,NA,NA,NA
ARDL_actividad_vulnerable,dlog_imaec_vulnerable,dlog_imaec_petrolero,0.008981433222151418,0.010041862021761036,0.8943991863947508,0.37645869619169814,NA,NA,NA
ARDL_actividad_vulnerable,dlog_imaec_vulnerable,trend,0.027225518495802094,0.025623211295091392,1.0625334265193236,0.29436662064553,NA,NA,NA
ARDL_actividad_vulnerable,dlog_imaec_vulnerable,season_sin,0.4146004068159843,0.44276140889942167,0.9363968911530985,0.354688306475748,NA,NA,NA
ARDL_actividad_vulnerable,dlog_imaec_vulnerable,season_cos,1.1000615591609955,0.42577495018365213,2.583669045552114,0.013535201462236352,NA,NA,NA
ARDL_placebo_petrolero,dlog_imaec_petrolero,(Intercept),-10.684179978013935,9.678931209732328,-1.1038594806078188,0.27609078368710127,NA,NA,NA
ARDL_placebo_petrolero,dlog_imaec_petrolero,dlog_petrolero_l1,-0.5023688283954779,0.18897973428793927,-2.658321170195122,0.011146999158392162,NA,NA,NA
ARDL_placebo_petrolero,dlog_imaec_petrolero,homicidios_100k_anualizado,0.09929438782964498,0.17011353905327622,0.58369479808745806,0.562623246689036,NA,NA,NA
ARDL_placebo_petrolero,dlog_imaec_petrolero,homicidios_100k_anualizado_l1,0.2723450226075343,0.2961870517718411,0.9195034724790305,0.36321067872846236,NA,NA,NA
ARDL_placebo_petrolero,dlog_imaec_petrolero,curfew_intensity,32.92289969400517,24.84166851840405,1.3253095165332436,0.19240675921245357,NA,NA,NA
ARDL_placebo_petrolero,dlog_imaec_petrolero,trend,-0.19837062778965972,0.34848911516784087,-0.5692304842695577,0.5723052554375035,NA,NA,NA
ARDL_placebo_petrolero,dlog_imaec_petrolero,season_sin,-3.051289319084144,3.5216425485724643,-0.8664392473111778,0.39129168290036964,NA,NA,NA
