date,agricultura,petroleo_minas,manufactura,construccion,comercio,servicios,impuestos_netos,imaec_total,imaec_petrolero,imaec_no_petrolero,imaec_vulnerable
2018-01-01,96.73347914806723,102.9294398154965,98.6127560735314,103.8899206541915,99.25824317475865,101.0547110234274,102.4467763193405,100.4563213285185,103.2813715230147,100.1039648376795,100.70390773147723
2018-02-01,94.59638059184617,84.46600119993732,101.0323670068073,107.248256566185,98.07525875414153,100.5120389936238,103.1137288633182,99.28932323439159,86.76110636115467,100.0324013955367,101.71698033018941
2018-03-01,103.3858918935675,99.66310942904288,101.15951428057,93.9362968977361,100.6527366382304,100.3751541488938,106.4298986995571,100.7250360767172,101.7794476138398,100.2721074007297,99.03092549135756
2018-04-01,102.4965724086566,96.59299474992588,100.125369475131,92.6601529349806,99.52130093762136,100.0583756581413,98.54524564739087,99.4997806012577,96.68202660152375,99.78445710241436,98.09129975146855
2018-05-01,105.2928780548699,95.39851753668296,103.715798920737,95.86189809254815,102.7935127672479,101.0585685097197,100.6419773578841,101.3726332005359,97.5003395975052,101.7262071563496,100.85744457256318
2018-06-01,96.88531735398094,98.83067452450231,100.9137652019719,115.0829777765719,100.03359228186,99.29818313775966,95.87930197961057,100.0410258428502,99.57171236181732,100.3477226957079,103.83212959954088
2018-07-01,100.3083531986378,98.72750766704205,102.42260689711,101.4360595217701,100.8098009007618,100.5515671451388,96.77007770681044,100.5507746550995,99.93196194770675,100.8446133533778,101.30500861619517
2018-08-01,98.37999618850213,107.0408036405205,99.84280149573247,97.92170531415915,99.62398342712439,99.9162761582214,98.73060959524668,100.0047633595358,105.4384656994753,99.657567520238,99.32619159880934
2018-09-01,97.9339591533402,97.99297201163249,97.41920534359534,115.9419020306285,98.81037509880325,99.07381330484247,94.9630935949528,99.29889230354989,97.57788924097305,99.71585639099995,102.81132394446739
2018-10-01,102.7268673179821,100.6668367996043,99.67086375828818,92.87993866860364,98.67544378135621,100.0286897858376,102.310628717842,99.79177643775459,98.08600415477979,99.76351775028823,97.8137339985214
2018-11-01,99.03154176196313,103.5143005361014,97.81271252860253,93.00864742119536,100.2468535548652,99.41407927969658,99.36678133151763,99.19304120795579,102.1281592394108,98.94965975637743,97.62057319608992
2018-12-01,102.2287629285909,114.1768420896025,97.27223901750409,90.13224411770864,101.4988986908321,98.65854285477512,100.8018801873007,99.77663175276051,111.2615156590819,98.80192464128896,96.89048117020499
2019-01-01,98.95113914913289,106.5920461178413,97.39053442153686,125.7441861661452,103.2567478501222,100.523556569005,98.45400844056022,102.027016860463,105.4885959628794,101.8991284587003,106.72875625170232
2019-02-01,99.15797176144757,108.6539825928345,98.04094218087249,91.50897695635102,101.8658043185084,99.88697611622554,102.3508009850278,100.265872156428,106.3994281413643,99.48863370334274,97.82567489298937
2019-03-01,99.9982605178817,102.6442613911514,97.30926196791387,99.81570221875802,98.59451821879145,98.54557702073403,94.36115599237539,98.65280570888872,100.2401705727829,98.76775193296416,98.56626485654934
2019-04-01,106.4021470655918,108.516966585332,101.1900841828462,102.5378959014628,106.5499334304376,102.6193587019757,97.9893223820592,103.4774810854284,104.6434077034269,103.7147433517341,103.22431805418057
2019-05-01,102.4773710910757,105.3732474324763,101.386765154155,98.30309493398471,105.3687894684059,101.0055998680954,98.79051235893827,101.8705111775451,104.7671916193785,101.7693862946348,101.51606235616026
