effect,estimate,interpretation
homicidios_acumulado_0_2,-0.0079423651176673,p.p. en crecimiento mensual no petrolero por 1 homicidio anualizado adicional por 100.000 hab. acumulado 0-2 meses
toque_queda_acumulado_0_1,-9.51608738778802,p.p. en crecimiento mensual no petrolero por aumento unitario del índice de restricción acumulado 0-1 meses
