model,nobs,r2_adj,rmse,durbin_watson,breusch_godfrey_lag3_p_value,breusch_pagan_p_value
ARDL_no_petrolero,NA,NA,NA,2.4732028276745397,0.0066598799256741515,0.7805140215644935
ARDL_actividad_vulnerable,NA,NA,NA,2.414208620851187,0.006230166279757836,0.6034595970129728
ARDL_placebo_petrolero,NA,NA,NA,2.245187816460555,0.017099066207755063,0.12667440739883054
base_no_petrolero,NA,NA,NA,3.0359332838718602,7.36932435259893e-5,0.838235546015202
actividad_vulnerable,NA,NA,NA,3.044910164067651,6.126507270108623e-5,0.4921909816009903
rezagos_no_petrolero,NA,NA,NA,3.0346654261262387,8.301220136751198e-5,0.8581422597810071
