date,agricultura,petroleo_minas,manufactura,construccion,comercio,servicios,impuestos_netos,imaec_total,imaec_petrolero,imaec_no_petrolero,imaec_vulnerable,homicidios,population_reference,homicidios_100k_mensual,homicidios_100k_anualizado,source_quality,curfew_days,curfew_intensity,dlog_imaec_no_petrolero,dlog_imaec_petrolero,dlog_imaec_total,dlog_imaec_vulnerable,dlog_no_petrolero_l1,dlog_vulnerable_l1,dlog_petrolero_l1,homicidios_100k_anualizado_l1,homicidios_100k_anualizado_l2,curfew_intensity_l1,month,trend,season_sin,season_cos
2022-01-01,108.387857867939,102.4670625053145,104.2215214515615,66.32820759100446,109.3995497881867,102.0462664045775,95.33104696160052,101.7175172545292,96.50037719798873,102.3752791493644,95.49888630883254,318,18103660,1.7565508852905989,21.078610623487183,serie_mensual_armonizada_publica,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.49999999999999994,0.8660254037844387
2022-02-01,119.2122038407635,113.0317363142256,108.3014389775659,74.49195804000489,113.0018314323677,103.128019175859,98.91307777857696,105.5849533621216,95.59025715166516,106.7319311507892,99.73081190644936,330,18103660,1.8228358243581684,21.87402989229802,serie_mensual_armonizada_publica,0,0,4.16751056544058,-0.9476014900324792,3.731634140598583,4.336008969488514,NA,NA,NA,21.078610623487183,NA,0,2,2,0.8660254037844386,0.5000000000000001
2022-03-01,118.8828021336996,110.1660968070157,107.8833297918877,84.52130024338533,113.5324442079142,103.9610506513135,98.7614763989896,106.270832980611,97.4877998986344,107.3609942685422,102.47453122362518,350,18103660,1.933310722804118,23.199728673649417,serie_mensual_armonizada_publica,0,0,0.5876559693471783,1.9656338705285492,0.6474989677157872,2.7139616410194023,4.16751056544058,4.336008969488514,-0.9476014900324792,21.87402989229802,21.078610623487183,0,3,3,1,6.123031769111886e-17
2022-04-01,110.6544215625922,115.7797902695684,110.0441097378614,79.51235137256752,112.0838274586413,104.6141570831309,98.366736072876,106.171692151005,94.39978794042707,107.5868630088222,101.56361141305028,360,18103660,1.9885481720270928,23.862578064325113,serie_mensual_armonizada_publica,0,0,0.2101615026783854,-3.218841417455831,-0.09333426698967529,-0.8928976228087748,0.5876559693471783,2.7139616410194023,1.9656338705285492,23.199728673649417,21.87402989229802,0,4,4,0.8660254037844387,-0.4999999999999998
2022-05-01,107.4301811018154,100.5109054578039,109.8744639548119,73.73591582317334,110.4197988627443,104.3169717860975,97.26619380980414,103.9316086004056,93.02181130852668,105.176374418089,99.58678760670676,370,18103660,2.0437856212500676,24.52542745500081,serie_mensual_armonizada_publica,0,0,-2.2659851970470157,-1.4704830900591048,-2.1324447816203573,-1.9655814368038094,0.2101615026783854,-0.8928976228087748,-3.218841417455831,23.862578064325113,23.199728673649417,0,5,5,0.49999999999999994,-0.8660254037844387
2022-06-01,102.8184932238523,109.5819907409143,100.1488247223469,83.17813730342478,104.0639939385388,104.0260095699102,95.51042563616986,102.4037957879675,78.64848018327625,104.96527893876559,97.85424138355518,400,18103660,2.209497968918992,26.513975627027904,serie_mensual_armonizada_publica,0,0,-0.20090786091833124,-16.784569033512042,-1.4809293049578898,-1.7550462567739622,-2.2659851970470157,-1.9655814368038094,-1.4704830900591048,24.52542745500081,23.862578064325113,0,6,6,1.2246063538223773e-16,-1
2022-07-01,112.4249288619891,100.9143123526159,112.7257976943815,79.66499668579605,114.8788230210569,104.4569510837662,100.1497140652476,105.9308872925889,91.76027915351456,107.4247582816503,102.93164212125018,390,18103660,2.154260519696017,25.851126236352208,serie_mensual_armonizada_publica,0,0,2.316106084765135,15.419120951059018,3.3863094629321466,5.058606050604997,-0.20090786091833124,-1.7550462567739622,-16.784569033512042,26.513975627027904,24.52542745500081,0,7,7,-0.4999999999999997,-0.8660254037844388
2022-08-01,112.0401547555073,116.2928040705111,108.5710675450532,84.00858891053726,115.5229062128902,106.266625628955,94.3475698980245,107.3404099339105,92.667339062059,109.4623969173181,103.59229707435892,400,18103660,2.209497968918992,26.513975627027904,serie_mensual_armonizada_publica,0,0,1.8790403585144944,0.9836566031557581,1.321831097463111,0.6397875318658208,2.316106084765135,5.058606050604997,15.419120951059018,25.851126236352208,26.513975627027904,0,8,8,-0.8660254037844384,-0.5000000000000004
2022-09-01,111.9507629523251,110.7690067207632,107.8083775979864,79.32777649017038,112.1305858092916,106.2937317698504,95.26661450990788,106.1247931660917,90.56387262913196,108.1681683692015,101.39011791682468,420,18103660,2.3199728673649416,27.8396744083793,serie_mensual_armonizada_publica,0,0,-1.189395252300951,-2.2960704390157183,-1.138949009958612,-2.1487344530666697,1.8790403585144944,0.6397875318658208,0.9836566031557581,26.513975627027904,25.851126236352208,0,9,9,-1,-1.836909530733566e-16
2022-10-01,116.376420146458,106.4697858198313,105.6388045772806,81.56574526461091,110.7311222315453,105.9789614485478,92.9582456402755,105.4498422224088,89.94103538545994,107.6225355726831,100.97865838049614,430,18103660,2.3752103165879164,28.502523799055002,serie_mensual_armonizada_publica,0,0,-0.5057066401671584,-0.6901083437604427,-0.6380284972275163,-0.40664386161282096,-1.189395252300951,-2.1487344530666697,-2.2960704390157183,27.8396744083793,26.513975627027904,0,10,10,-0.8660254037844386,0.5000000000000001
2022-11-01,115.3130762383108,105.4489608419113,104.9233933848441,81.0616686534724,109.7483208092537,106.479732274857,95.56564002611192,105.4335641792001,89.46586743045711,107.4404394951229,100.5532787806068,410,18103660,2.2647354181419668,27.1768250177036,serie_mensual_armonizada_publica,30,0.085,-0.16934213898860406,-0.5297110184954157,-0.015437955521324653,-0.4221467203638696,-0.5057066401671584,-0.40664386161282096,-0.6901083437604427,28.502523799055002,27.8396744083793,0,11,11,-0.5000000000000004,0.8660254037844384
2022-12-01,115.0695885029074,113.2597535984351,105.8174987292636,78.89084845778271,115.4097472882214,108.2584468476939,90.77617477013332,107.3278210992089,93.32515646183492,109.6700323292464,102.0941353307404,425,18103660,2.3475915919764287,28.171099103717147,serie_mensual_armonizada_publica,15,0.04112903225806452,2.053950874220245,4.223251827686347,1.7806868201827086,1.5207558931010112,-0.16934213898860406,-0.4221467203638696,-0.5297110184954157,27.1768250177036,28.502523799055002,0.085,12,12,-2.4492127076447545e-16,1
2023-01-01,113.5676996594142,110.3943399541026,107.0859762970744,87.89895603319175,113.7257122155032,107.4506090810437,91.71853335387532,107.2196800602382,93.97408387513757,109.279521588549,104.04031340670326,534,18103660,2.949679788506854,35.39615746208226,serie_mensual_armonizada_publica,0,0,-0.3567133595804073,0.6929339475100882,-0.10080849000280168,1.888316986573635,2.053950874220245,1.5207558931010112,4.223251827686347,28.171099103717147,27.1768250177036,0.04112903225806452,1,13,0.49999999999999994,0.8660254037844387
2023-02-01,114.3640308026047,101.3191370375709,104.731401223104,79.38458282394176,111.687456342629,106.7688611862048,108.9074261363277,105.8619410751878,84.68241504499264,107.8071532077664,100.64307539396988,580,18103660,3.2037720549325384,38.44526465919046,serie_mensual_armonizada_publica,0,0,-1.356500540219674,-10.411107527867802,-1.274401192945085,-3.3198102091914983,-0.3567133595804073,1.888316986573635,0.6929339475100882,35.39615746208226,28.171099103717147,0,2,14,0.8660254037844386,0.5000000000000001
2023-03-01,118.8475511326072,104.6589146610824,110.6796397257193,87.18549011132936,113.7771109989713,107.1336487394462,87.21334402928828,107.0419502612358,84.8705271502759,110.5452943988095,104.69397239386652,620,18103660,3.424721851824438,41.096662221893254,serie_mensual_armonizada_publica,0,0,2.5081328471038944,0.22189197076754041,1.1085013633776342,3.946119510871693,-1.356500540219674,-3.3198102091914983,-10.411107527867802,38.44526465919046,35.39615746208226,0,3,15,1,6.123031769111886e-17
2023-04-01,116.9224398527504,100.268083640384,108.0727012854317,80.78633627327353,113.3479648509621,108.2880550011465,97.3570326729201,106.7469896152198,87.81058607321096,109.1728021243372,102.62376435270346,630,18103660,3.4799593010474124,41.75951161256895,serie_mensual_armonizada_publica,0,0,-1.2493373538141839,3.405517845314243,-0.2759364757982219,-1.9972018672146596,2.5081328471038944,3.946119510871693,0.22189197076754041,41.096662221893254,38.44526465919046,0,4,16,0.8660254037844387,-0.4999999999999998
2023-05-01,114.9725283918743,107.6832337918342,113.0934158044871,86.0341281091692,115.5345728948428,108.5532516022471,115.0865752100907,109.6850682514362,87.9676370017324,111.529833647342,105.80384210268654,610,18103660,3.3694844026014628,40.43381283121755,serie_mensual_armonizada_publica,0,0,2.136015396098756,0.178692181049378,2.715179224166775,3.0517306247068277,-1.2493373538141839,-1.9972018672146596,3.405517845314243,41.75951161256895,41.096662221893254,0,5,17,0.49999999999999994,-0.8660254037844387
2023-06-01,121.1612065748753,109.3353900742431,111.3446787774914,75.97839927951962,121.3962439752365,111.6245800589231,122.4687285457104,112.1009672807289,89.5890021807994,113.7237147525719,105.08597552279268,625,18103660,3.4523405764359256,41.428086917231106,serie_mensual_armonizada_publica,0,0,1.9479830575344081,1.826358343594947,2.1786715144786584,-0.6808003920430572,2.136015396098756,3.0517306247068277,0.178692181049378,40.43381283121755,41.75951161256895,0,6,18,1.2246063538223773e-16,-1
2023-07-01,115.8087576249092,106.6920836228213,103.6342039554728,71.14271251237393,107.3003140747297,107.271408915693,98.12718381929054,104.9016012629694,90.92686427552384,106.5236192374022,97.33715986456735,690,18103660,3.8113839963852616,45.73660795662314,serie_mensual_armonizada_publica,0,0,-6.540521459226234,1.4822925176100732,-6.637717882470362,-7.659800311012521,1.9479830575344081,-0.6808003920430572,1.826358343594947,41.428086917231106,40.43381283121755,0,7,19,-0.4999999999999997,-0.8660254037844388
2023-08-01,118.0454435179281,109.6308265826022,106.2978991692818,72.28972245183174,113.8619702011539,109.562525064581,94.01865997247188,107.5308988110144,91.09856770611115,109.88210753873,100.50302922171213,720,18103660,3.9770963440541856,47.72515612865023,serie_mensual_armonizada_publica,0,0,3.104130397252902,0.18865878206746345,2.4755457120494206,3.2007042049985834,-6.540521459226234,-7.659800311012521,1.4822925176100732,45.73660795662314,41.428086917231106,0,8,20,-0.8660254037844384,-0.5000000000000004
2023-09-01,112.8433785853652,108.9080784853454,106.423703835495,72.81137843998715,113.3022592599938,108.0337588819386,89.2170857432126,106.126648037353,91.17889108656856,108.5047795435081,100.14277510435365,760,18103660,4.198046140946085,50.37655369135302,serie_mensual_armonizada_publica,0,0,-1.2613818307634972,0.08813309795803193,-1.3145063347146824,-0.35909497902446574,3.104130397252902,3.2007042049985834,0.18865878206746345,47.72515612865023,45.73660795662314,0,9,21,-1,-1.836909530733566e-16
2023-10-01,106.1852317027082,107.5823329373297,105.0862318766339,72.07996404145597,110.6047937889929,107.837623917307,94.6969405299019,105.1232526561129,91.80464938573536,106.88698086087,98.90215340609744,800,18103660,4.418995937837984,53.02795125405581,serie_mensual_armonizada_publica,0,0,-1.5022200506351169,0.6839530341594902,-0.9499677148168573,-1.246590680233961,-1.2613818307634972,-0.35909497902446574,0.08813309795803193,50.37655369135302,47.72515612865023,0,10,22,-0.8660254037844386,0.5000000000000001
